ID,セクション,優先度,当社が確認したこと,質問,回答の選択肢（A/B/C等）,回答（先方記入）,備考（先方記入）
1-4,1.追加サンプル,最優先,月次レポートの現物は未受領,レポートサンプルを送付いただけますか？,A:添付する / B:後日送る / C:無い,,,
1-5,1.追加サンプル,最優先,銀行入金明細（CIMB等）は未受領,1ヶ月分の明細を送付いただけますか？,A:添付する / B:後日送る / C:無い,,,
2-1,2.請求書・部屋番号,最優先,"TNB例: ファイル名 TNB Mews A-36-1_May2026 に部屋番号あり。本文には A-36-1 なし。住所は PANGSAPURI SERVIS MEWS。NO. AKAUN あり",この請求書が The Mews A-36-1（Ito）だと何を見て判断していますか？,"A:ファイル名 / B:口座番号と対応表 / C:住所・建物名 / D:担当者が目視（ルールなし） / E:その他",,,
2-2,2.請求書・部屋番号,最優先,部屋番号がファイル名にしか無い請求書があった,Drive保存時のファイル名ルールはありますか？,"A:決まったルールがある / B:だいたい建物名・部屋番号は入れる / C:特にルールなし / D:その他",,,
2-3,2.請求書・部屋番号,最優先,"The Mews=PANGSAPURI SERVIS MEWS 等、表記ゆれあり",建物名の正式名称⇔請求書/銀行の別表記の対応表はありますか？,"A:ある（添付または追記） / B:ないが担当者は把握 / C:わからない・これから整理",,,
2-4,2.請求書・部屋番号,最優先,TNB・水道等に NO. AKAUN（契約口座番号）が載る,口座番号→部屋の対応表はありますか？,"A:ある（共有可能） / B:ない / C:一部の請求種別のみ",,,
2-5,2.請求書・部屋番号,最優先,"部屋番号例: 29(ハイフン無) / 20-G / T1-19-3a",部屋番号の正式表記ルールはありますか？,"A:建物ごとに決まっている / B:厳密なルールなし / C:オーナーリストの表記が正式",,,
3-1,3.入金消込,最優先,家賃入金摘要に区画番号が入るケースがある想定,家賃振込時、銀行摘要に部屋番号は必ず入りますか？,"A:ほぼ必ず / B:入ることもテナント名のみも / C:テナント名のみが多い / D:わからない",,,
3-2a,3.入金消込,最優先,,使用している銀行名は？,（自由記入）,,,
3-2b,3.入金消込,最優先,,銀行明細の形式は？,A:CSVでDL可 / B:PDFのみ / C:その他,,,
4-1,4.レポート・連絡先,最優先,オーナーリストにメール列なし,各オーナーのレポート送付先メールをいただけますか？,"A:一覧を添付 / B:後日送る / C:メール以外で送付",,,
4-2,4.レポート・連絡先,最優先,,管理手数料率は？,"A:全オーナー一律(率記入) / B:オーナーごと / C:物件ごと / D:その他",,,
4-3,4.レポート・連絡先,最優先,Ito(個人)と Hideo Ito Holdings(法人)が別行,別オーナーとして扱って問題ないですか？,"A:はい別オーナー / B:同一グループ / C:その他",,,
5-1a,5.問い合わせ(Phase2),分かる範囲,仲介会社からの問い合わせ,主な連絡手段は？,メール/WhatsApp/電話/その他（複数可）,,,
5-1b,5.問い合わせ(Phase2),分かる範囲,,よくある内容は？,空き物件/写真/内見・鍵/その他（複数可）,,,
5-1c,5.問い合わせ(Phase2),分かる範囲,,過去のやりとりサンプル,添付/後日/無い,,,
5-2a,5.問い合わせ(Phase2),分かる範囲,テナントからの問い合わせ,主な連絡手段は？,WhatsApp/メール/LINE/その他（複数可）,,,
5-2b,5.問い合わせ(Phase2),分かる範囲,,よくある内容は？,修繕/緊急/契約・退去/支払い/その他（複数可）,,,
5-2c,5.問い合わせ(Phase2),分かる範囲,,過去のやりとりサンプル,添付/後日/無い,,,
6-1,6.運用タイミング,分かる範囲,,請求書が届く時期（目安）,（例: 毎月5日頃）,,,
6-2,6.運用タイミング,分かる範囲,,レポート送付時期（目安）,（例: 毎月15日頃）,,,
6-3,6.運用タイミング,分かる範囲,,請求処理の担当者名,（自由記入）,,,
6-4,6.運用タイミング,分かる範囲,,レポート作成の担当者名,（自由記入）,,,
